"TicketID","TicketType","TicketSubject","TicketPriority","TicketChannel","ProductPurchased","CustomerSatisfactionRating","TimetoResolution","FirstResponseTime"
83,Refund request,Software bug,Low,Social media,PlayStation,1,"01/06/23 20:35","01/06/23 5:40"
87,Technical issue,Product recommendation,Critical,Phone,Sony PlayStation,2,"01/06/23 6:23","01/06/23 18:03"
90,Product inquiry,Product recommendation,Medium,Email,Sony Xperia,5,"01/06/23 3:09","31/05/23 23:17"
96,Product inquiry,Battery life,High,Chat,Autodesk AutoCAD,5,"01/06/23 18:39","01/06/23 0:08"
99,Billing inquiry,Refund request,High,Chat,Samsung Galaxy,5,"01/06/23 14:45","01/06/23 7:05"
103,Refund request,Battery life,Critical,Email,Asus ROG,3,"01/06/23 15:23","01/06/23 3:07"
107,Cancellation request,Installation support,Low,Email,Nintendo Switch,2,"01/06/23 20:46","01/06/23 11:38"
109,Technical issue,Product setup,Critical,Chat,Dyson Vacuum Cleaner,4,"01/06/23 8:15","01/06/23 2:55"
111,Cancellation request,Peripheral compatibility,High,Email,Amazon Echo,2,"01/06/23 12:43","01/06/23 3:14"
114,Cancellation request,Payment issue,High,Email,Microsoft Office,1,"31/05/23 22:24","01/06/23 3:24"
115,Cancellation request,Battery life,High,Email,Sony 4K HDR TV,1,"01/06/23 6:04","01/06/23 10:27"
117,Cancellation request,Software bug,High,Email,iPhone,5,"01/06/23 18:17","01/06/23 19:02"
118,Billing inquiry,Product setup,Medium,Phone,Google Nest,5,"01/06/23 4:42","01/06/23 0:40"
120,Billing inquiry,Software bug,Low,Phone,Fitbit Charge,2,"01/06/23 14:49","01/06/23 4:22"
129,Cancellation request,Hardware issue,Medium,Email,Adobe Photoshop,3,"01/06/23 0:29","31/05/23 22:12"
131,Billing inquiry,Product recommendation,Medium,Email,Asus ROG,2,"01/06/23 15:03","01/06/23 21:31"
134,Refund request,Refund request,Critical,Phone,Nintendo Switch,5,"31/05/23 22:53","01/06/23 17:14"
135,Cancellation request,Product setup,Critical,Email,PlayStation,2,"01/06/23 1:07","01/06/23 7:40"
138,Technical issue,Network problem,Low,Chat,Amazon Echo,4,"01/06/23 9:08","01/06/23 9:56"
139,Product inquiry,Product compatibility,Critical,Chat,Adobe Photoshop,2,"01/06/23 6:58","31/05/23 23:52"
141,Cancellation request,Product setup,Critical,Email,LG Washing Machine,1,"01/06/23 5:30","01/06/23 9:35"
142,Technical issue,Software bug,High,Chat,Sony PlayStation,2,"01/06/23 5:10","01/06/23 21:18"
148,Billing inquiry,Product compatibility,Low,Social media,Apple AirPods,3,"31/05/23 23:28","01/06/23 13:45"
149,Refund request,Installation support,High,Chat,LG Washing Machine,1,"01/06/23 13:55","01/06/23 8:45"
150,Technical issue,Peripheral compatibility,Critical,Email,Philips Hue Lights,3,"01/06/23 20:02","01/06/23 16:34"
151,Refund request,Product recommendation,Critical,Email,Google Pixel,4,"01/06/23 6:51","01/06/23 15:33"
162,Refund request,Product setup,High,Phone,HP Pavilion,3,"01/06/23 15:58","01/06/23 3:19"
163,Refund request,Payment issue,Critical,Phone,Bose SoundLink Speaker,1,"01/06/23 10:37","01/06/23 21:38"
164,Cancellation request,Product recommendation,Medium,Phone,Microsoft Office,3,"01/06/23 9:02","01/06/23 19:15"
165,Billing inquiry,Product setup,Low,Social media,HP Pavilion,5,"01/06/23 21:26","01/06/23 19:39"
167,Refund request,Battery life,Medium,Email,Xbox,3,"01/06/23 7:29","01/06/23 4:35"
168,Technical issue,Delivery problem,Medium,Chat,Garmin Forerunner,3,"01/06/23 6:19","01/06/23 12:41"
170,Product inquiry,Network problem,Medium,Phone,Sony Xperia,1,"01/06/23 11:08","01/06/23 14:14"
171,Billing inquiry,Product setup,Low,Social media,Microsoft Office,4,"01/06/23 18:36","01/06/23 15:42"
176,Technical issue,Delivery problem,Medium,Email,PlayStation,4,"01/06/23 7:23","01/06/23 13:14"
183,Product inquiry,Delivery problem,High,Chat,Samsung Soundbar,4,"01/06/23 6:34","01/06/23 1:29"
184,Billing inquiry,Network problem,Medium,Phone,Google Pixel,4,"01/06/23 3:51","31/05/23 23:38"
189,Refund request,Product compatibility,High,Phone,Roomba Robot Vacuum,1,"01/06/23 7:32","01/06/23 15:58"
193,Product inquiry,Account access,Medium,Phone,GoPro Hero,1,"31/05/23 22:49","01/06/23 21:31"
195,Billing inquiry,Payment issue,Medium,Social media,Samsung Soundbar,2,"01/06/23 11:49","01/06/23 4:08"
198,Refund request,Delivery problem,High,Chat,MacBook Pro,3,"31/05/23 22:36","01/06/23 2:54"
199,Cancellation request,Product setup,Critical,Chat,Amazon Echo,5,"01/06/23 19:24","01/06/23 1:07"
200,Product inquiry,Software bug,Medium,Chat,Canon EOS,5,"01/06/23 20:34","01/06/23 12:39"
205,Cancellation request,Software bug,High,Phone,Google Nest,3,"01/06/23 17:50","01/06/23 17:47"
206,Refund request,Delivery problem,Medium,Phone,Sony Xperia,1,"01/06/23 11:18","01/06/23 13:56"
210,Technical issue,Delivery problem,Low,Chat,Nintendo Switch Pro Controller,1,"01/06/23 20:10","01/06/23 21:50"
220,Technical issue,Refund request,Critical,Social media,Canon EOS,2,"01/06/23 11:02","01/06/23 9:57"
221,Billing inquiry,Installation support,Medium,Social media,Sony Xperia,5,"01/06/23 5:45","01/06/23 13:53"
226,Technical issue,Product recommendation,High,Chat,PlayStation,4,"31/05/23 21:54","01/06/23 12:23"
227,Billing inquiry,Product recommendation,High,Phone,Apple AirPods,4,"01/06/23 16:11","31/05/23 22:49"
230,Technical issue,Hardware issue,Critical,Social media,Microsoft Xbox Controller,2,"01/06/23 10:40","01/06/23 8:10"
237,Refund request,Refund request,Critical,Phone,iPhone,3,"01/06/23 0:43","01/06/23 8:21"
238,Product inquiry,Peripheral compatibility,High,Social media,Sony Xperia,4,"01/06/23 8:38","01/06/23 0:51"
241,Technical issue,Delivery problem,Low,Social media,Philips Hue Lights,5,"01/06/23 9:42","01/06/23 12:44"
242,Billing inquiry,Product compatibility,Low,Social media,iPhone,2,"01/06/23 21:49","01/06/23 8:10"
250,Refund request,Product compatibility,High,Chat,Sony PlayStation,3,"01/06/23 14:34","01/06/23 15:10"
251,Technical issue,Product setup,Critical,Phone,Roomba Robot Vacuum,2,"01/06/23 8:04","01/06/23 3:15"
260,Billing inquiry,Battery life,Low,Social media,PlayStation,5,"01/06/23 11:26","01/06/23 5:54"
263,Product inquiry,Hardware issue,Medium,Chat,Microsoft Surface,2,"01/06/23 0:08","01/06/23 5:44"
265,Refund request,Cancellation request,Critical,Social media,Sony Xperia,3,"01/06/23 4:42","01/06/23 16:39"
266,Cancellation request,Product compatibility,Medium,Chat,LG OLED,2,"01/06/23 16:15","01/06/23 20:18"
270,Refund request,Hardware issue,High,Social media,MacBook Pro,3,"01/06/23 16:09","01/06/23 7:21"
271,Billing inquiry,Data loss,Critical,Phone,Xbox,1,"01/06/23 13:27","01/06/23 14:06"
278,Billing inquiry,Refund request,Medium,Chat,Autodesk AutoCAD,4,"01/06/23 14:25","01/06/23 20:36"
279,Technical issue,Software bug,Low,Social media,Apple AirPods,5,"31/05/23 23:05","01/06/23 0:42"
281,Product inquiry,Refund request,Critical,Chat,Bose SoundLink Speaker,2,"01/06/23 16:09","01/06/23 14:22"
293,Billing inquiry,Product compatibility,High,Email,Philips Hue Lights,2,"01/06/23 9:47","01/06/23 5:29"
295,Product inquiry,Cancellation request,Critical,Phone,Philips Hue Lights,3,"01/06/23 0:15","01/06/23 1:49"
297,Billing inquiry,Installation support,Medium,Social media,Microsoft Xbox Controller,5,"01/06/23 8:26","01/06/23 11:27"
298,Cancellation request,Cancellation request,Critical,Phone,Apple AirPods,2,"01/06/23 17:40","01/06/23 4:14"
303,Product inquiry,Peripheral compatibility,Medium,Phone,Amazon Kindle,1,"01/06/23 1:53","01/06/23 0:49"
305,Cancellation request,Software bug,Medium,Chat,Amazon Kindle,5,"01/06/23 21:20","01/06/23 12:24"
307,Refund request,Peripheral compatibility,Low,Social media,GoPro Action Camera,2,"01/06/23 20:10","01/06/23 17:07"
311,Technical issue,Peripheral compatibility,High,Social media,Nintendo Switch Pro Controller,2,"01/06/23 4:49","01/06/23 13:51"
312,Refund request,Product setup,Critical,Chat,Bose QuietComfort,2,"01/06/23 9:18","01/06/23 7:18"
313,Technical issue,Battery life,Medium,Email,Microsoft Xbox Controller,1,"01/06/23 1:29","01/06/23 0:13"
315,Cancellation request,Payment issue,High,Email,GoPro Hero,2,"01/06/23 5:41","01/06/23 5:58"
318,Technical issue,Cancellation request,Low,Chat,Apple AirPods,4,"31/05/23 23:53","01/06/23 7:32"
321,Cancellation request,Software bug,Medium,Email,Nest Thermostat,4,"01/06/23 5:11","01/06/23 12:49"
323,Refund request,Battery life,Critical,Social media,Canon DSLR Camera,3,"31/05/23 23:56","01/06/23 6:48"
326,Refund request,Hardware issue,Low,Phone,Microsoft Surface,4,"01/06/23 11:28","01/06/23 0:41"
330,Refund request,Product recommendation,Medium,Chat,GoPro Hero,5,"01/06/23 9:59","01/06/23 4:28"
333,Technical issue,Delivery problem,Medium,Social media,Fitbit Versa Smartwatch,2,"01/06/23 19:56","01/06/23 18:11"
334,Technical issue,Installation support,Medium,Phone,Nintendo Switch Pro Controller,2,"31/05/23 23:46","01/06/23 10:39"
339,Technical issue,Product compatibility,Critical,Social media,iPhone,3,"01/06/23 16:42","01/06/23 8:44"
340,Product inquiry,Data loss,Low,Email,Roomba Robot Vacuum,1,"01/06/23 11:02","01/06/23 15:40"
343,Cancellation request,Cancellation request,Low,Chat,Sony PlayStation,5,"01/06/23 21:15","01/06/23 15:44"
345,Technical issue,Network problem,High,Phone,HP Pavilion,3,"01/06/23 17:25","01/06/23 5:24"
346,Technical issue,Payment issue,High,Social media,Garmin Forerunner,5,"01/06/23 7:13","01/06/23 15:56"
350,Billing inquiry,Battery life,Critical,Email,LG OLED,3,"01/06/23 17:25","31/05/23 23:30"
351,Cancellation request,Product compatibility,Critical,Social media,Garmin Forerunner,2,"01/06/23 17:15","01/06/23 7:33"
353,Refund request,Installation support,High,Email,Bose SoundLink Speaker,2,"01/06/23 10:42","01/06/23 16:10"
354,Cancellation request,Refund request,Critical,Chat,Nest Thermostat,4,"01/06/23 4:54","01/06/23 19:19"
357,Technical issue,Cancellation request,High,Chat,iPhone,2,"01/06/23 20:42","01/06/23 1:05"
361,Cancellation request,Network problem,Medium,Email,Nintendo Switch Pro Controller,5,"01/06/23 8:39","01/06/23 6:19"
362,Product inquiry,Product compatibility,Medium,Chat,Bose QuietComfort,4,"01/06/23 14:54","01/06/23 12:47"
365,Cancellation request,Payment issue,High,Chat,GoPro Action Camera,1,"01/06/23 20:10","01/06/23 15:03"
366,Billing inquiry,Peripheral compatibility,Medium,Social media,Bose QuietComfort,3,"01/06/23 7:18","01/06/23 11:34"
371,Refund request,Account access,Medium,Email,Roomba Robot Vacuum,2,"31/05/23 23:26","01/06/23 14:12"
372,Cancellation request,Battery life,Medium,Email,Amazon Kindle,1,"31/05/23 22:59","31/05/23 22:20"
373,Refund request,Battery life,Medium,Social media,GoPro Action Camera,5,"01/06/23 21:08","01/06/23 14:52"
374,Technical issue,Cancellation request,Critical,Phone,GoPro Hero,1,"01/06/23 11:42","01/06/23 10:52"
376,Product inquiry,Refund request,Low,Phone,Lenovo ThinkPad,1,"01/06/23 20:11","01/06/23 19:50"
379,Refund request,Data loss,Medium,Email,Nintendo Switch,4,"31/05/23 22:18","01/06/23 18:31"
381,Product inquiry,Peripheral compatibility,Low,Email,GoPro Hero,5,"01/06/23 13:10","01/06/23 7:09"
382,Product inquiry,Refund request,High,Email,Sony PlayStation,4,"31/05/23 23:14","01/06/23 1:57"
384,Refund request,Display issue,High,Social media,Sony 4K HDR TV,3,"01/06/23 13:00","01/06/23 8:19"
386,Technical issue,Software bug,Medium,Chat,Google Nest,4,"01/06/23 11:32","01/06/23 15:49"
387,Cancellation request,Hardware issue,Critical,Email,iPhone,2,"31/05/23 23:21","01/06/23 17:25"
388,Billing inquiry,Data loss,High,Chat,Adobe Photoshop,4,"01/06/23 17:28","01/06/23 16:17"
391,Technical issue,Display issue,High,Phone,Bose SoundLink Speaker,4,"01/06/23 17:47","01/06/23 5:20"
395,Product inquiry,Refund request,Critical,Chat,Microsoft Surface,1,"01/06/23 12:07","01/06/23 16:18"
396,Technical issue,Delivery problem,Low,Phone,GoPro Action Camera,2,"01/06/23 8:31","31/05/23 21:55"
403,Cancellation request,Cancellation request,Medium,Social media,Sony 4K HDR TV,3,"01/06/23 8:51","01/06/23 10:23"
404,Billing inquiry,Installation support,Low,Phone,Google Nest,1,"31/05/23 22:34","01/06/23 2:42"
405,Cancellation request,Battery life,Critical,Social media,Asus ROG,2,"01/06/23 13:11","01/06/23 8:45"
409,Product inquiry,Product compatibility,Critical,Email,Dyson Vacuum Cleaner,2,"01/06/23 2:29","01/06/23 16:44"
412,Refund request,Hardware issue,Low,Phone,Amazon Kindle,4,"01/06/23 6:59","01/06/23 5:07"
419,Technical issue,Software bug,Low,Chat,Garmin Forerunner,2,"01/06/23 20:41","31/05/23 22:20"
429,Refund request,Hardware issue,High,Phone,Philips Hue Lights,3,"01/06/23 6:23","01/06/23 17:08"
430,Refund request,Data loss,Low,Chat,Sony 4K HDR TV,1,"01/06/23 16:26","01/06/23 15:09"
438,Cancellation request,Product setup,Critical,Social media,Canon EOS,4,"01/06/23 16:12","01/06/23 10:05"
439,Product inquiry,Delivery problem,Medium,Social media,MacBook Pro,2,"01/06/23 1:54","01/06/23 2:04"
440,Cancellation request,Network problem,Low,Email,LG OLED,2,"01/06/23 20:08","01/06/23 20:32"
442,Technical issue,Data loss,Medium,Chat,Amazon Kindle,2,"01/06/23 4:43","01/06/23 17:31"
444,Refund request,Delivery problem,Medium,Phone,Canon DSLR Camera,3,"01/06/23 12:06","01/06/23 5:17"
445,Technical issue,Display issue,Medium,Phone,Google Nest,1,"01/06/23 14:40","01/06/23 17:19"
450,Refund request,Software bug,Critical,Chat,Canon DSLR Camera,1,"01/06/23 5:56","01/06/23 21:08"
454,Billing inquiry,Account access,High,Social media,Nikon D,1,"31/05/23 23:53","01/06/23 15:48"
456,Refund request,Cancellation request,Low,Social media,Fitbit Versa Smartwatch,5,"01/06/23 6:25","01/06/23 4:01"
459,Refund request,Delivery problem,Low,Email,Amazon Echo,5,"01/06/23 11:28","01/06/23 21:18"
460,Product inquiry,Payment issue,Low,Email,PlayStation,1,"01/06/23 11:52","01/06/23 12:21"
462,Billing inquiry,Delivery problem,Critical,Email,Google Nest,3,"01/06/23 13:29","31/05/23 23:15"
464,Product inquiry,Cancellation request,Medium,Social media,Canon EOS,2,"01/06/23 8:26","01/06/23 5:55"
468,Billing inquiry,Delivery problem,Critical,Chat,Microsoft Xbox Controller,5,"01/06/23 7:01","01/06/23 13:09"
469,Cancellation request,Network problem,Low,Email,GoPro Action Camera,2,"31/05/23 23:16","01/06/23 4:59"
471,Refund request,Data loss,Critical,Phone,Nintendo Switch,3,"01/06/23 12:24","01/06/23 19:40"
473,Cancellation request,Refund request,Medium,Phone,Samsung Soundbar,4,"01/06/23 10:51","01/06/23 13:13"
475,Product inquiry,Account access,Low,Social media,Canon DSLR Camera,1,"01/06/23 2:25","01/06/23 11:53"
484,Technical issue,Product setup,Low,Phone,Amazon Kindle,5,"01/06/23 0:26","01/06/23 21:39"
485,Technical issue,Data loss,Critical,Chat,Canon DSLR Camera,5,"01/06/23 7:18","01/06/23 18:13"
486,Product inquiry,Product compatibility,Medium,Phone,Dyson Vacuum Cleaner,5,"01/06/23 12:23","01/06/23 0:38"
493,Billing inquiry,Account access,Critical,Chat,Autodesk AutoCAD,4,"01/06/23 6:56","01/06/23 16:51"
496,Technical issue,Account access,Low,Social media,Fitbit Charge,1,"01/06/23 21:03","01/06/23 5:41"
497,Technical issue,Installation support,Medium,Phone,Sony PlayStation,1,"01/06/23 11:38","01/06/23 5:25"
501,Cancellation request,Product compatibility,High,Chat,Garmin Forerunner,5,"01/06/23 16:30","01/06/23 7:59"
502,Billing inquiry,Hardware issue,Critical,Phone,Canon DSLR Camera,2,"01/06/23 17:52","01/06/23 17:38"
504,Technical issue,Cancellation request,Medium,Phone,Sony Xperia,3,"01/06/23 17:04","01/06/23 13:38"
510,Product inquiry,Product compatibility,High,Chat,Asus ROG,5,"01/06/23 16:42","01/06/23 9:28"
512,Product inquiry,Battery life,Low,Phone,Canon EOS,2,"01/06/23 8:45","01/06/23 3:19"
515,Technical issue,Delivery problem,Critical,Chat,Amazon Echo,1,"01/06/23 13:23","01/06/23 16:15"
516,Technical issue,Product recommendation,Medium,Phone,GoPro Hero,2,"31/05/23 23:55","01/06/23 2:01"
517,Billing inquiry,Software bug,Critical,Phone,Dyson Vacuum Cleaner,4,"01/06/23 12:48","01/06/23 3:20"
519,Product inquiry,Account access,Critical,Chat,Nest Thermostat,3,"01/06/23 18:17","01/06/23 11:17"
525,Refund request,Battery life,Low,Email,Nikon D,3,"01/06/23 4:39","01/06/23 14:37"
526,Refund request,Product setup,Medium,Chat,Microsoft Office,1,"01/06/23 7:55","01/06/23 21:44"
527,Refund request,Display issue,Critical,Social media,Bose QuietComfort,1,"01/06/23 21:18","01/06/23 2:32"
535,Technical issue,Account access,Medium,Phone,Sony 4K HDR TV,2,"01/06/23 9:59","01/06/23 14:32"
537,Technical issue,Peripheral compatibility,Medium,Phone,Microsoft Xbox Controller,3,"01/06/23 18:18","01/06/23 14:14"
540,Cancellation request,Cancellation request,Medium,Chat,Adobe Photoshop,3,"01/06/23 16:47","01/06/23 6:21"
544,Refund request,Display issue,Low,Email,PlayStation,2,"01/06/23 17:51","31/05/23 23:07"
556,Billing inquiry,Installation support,Critical,Email,Google Pixel,5,"01/06/23 12:57","01/06/23 21:38"
559,Product inquiry,Peripheral compatibility,Critical,Chat,Nikon D,3,"01/06/23 20:09","01/06/23 17:14"
562,Technical issue,Network problem,Medium,Phone,LG OLED,3,"01/06/23 11:54","01/06/23 3:59"
565,Cancellation request,Cancellation request,High,Phone,Sony Xperia,5,"01/06/23 1:22","01/06/23 4:54"
568,Billing inquiry,Peripheral compatibility,High,Phone,Canon EOS,1,"01/06/23 6:54","01/06/23 17:56"
569,Product inquiry,Network problem,Low,Social media,Samsung Galaxy,4,"01/06/23 17:33","01/06/23 5:21"
575,Billing inquiry,Network problem,Medium,Chat,Adobe Photoshop,2,"01/06/23 10:19","01/06/23 15:13"
576,Billing inquiry,Data loss,Low,Email,Sony 4K HDR TV,4,"01/06/23 6:47","01/06/23 16:53"
577,Product inquiry,Account access,Low,Social media,Apple AirPods,1,"01/06/23 2:51","01/06/23 20:39"
581,Cancellation request,Software bug,Critical,Social media,Samsung Galaxy,2,"01/06/23 6:13","01/06/23 3:37"
586,Refund request,Product setup,Critical,Chat,Microsoft Office,2,"01/06/23 6:39","01/06/23 14:43"
588,Refund request,Product recommendation,Medium,Phone,LG OLED,2,"01/06/23 15:48","01/06/23 5:25"
590,Technical issue,Data loss,High,Phone,PlayStation,5,"01/06/23 4:04","01/06/23 2:53"
597,Cancellation request,Data loss,Critical,Phone,LG Smart TV,3,"01/06/23 12:27","01/06/23 14:02"
598,Technical issue,Cancellation request,High,Phone,Garmin Forerunner,4,"01/06/23 14:19","01/06/23 0:32"
599,Technical issue,Account access,Critical,Social media,GoPro Action Camera,2,"01/06/23 19:12","01/06/23 9:54"
601,Billing inquiry,Installation support,Low,Email,Canon DSLR Camera,4,"01/06/23 14:52","01/06/23 6:35"
604,Refund request,Refund request,Critical,Email,Lenovo ThinkPad,5,"01/06/23 2:05","01/06/23 7:22"
605,Product inquiry,Installation support,Critical,Social media,Google Pixel,3,"01/06/23 14:00","01/06/23 5:10"
612,Product inquiry,Network problem,Medium,Phone,MacBook Pro,4,"01/06/23 16:04","01/06/23 19:30"
620,Technical issue,Refund request,Low,Email,Amazon Kindle,4,"01/06/23 4:00","01/06/23 6:35"
621,Billing inquiry,Hardware issue,Low,Email,Canon EOS,5,"01/06/23 1:32","01/06/23 21:02"
622,Product inquiry,Account access,Medium,Chat,Sony 4K HDR TV,2,"01/06/23 16:08","01/06/23 15:57"
628,Billing inquiry,Hardware issue,High,Email,Canon EOS,2,"01/06/23 5:38","01/06/23 18:42"
636,Cancellation request,Data loss,Medium,Chat,Canon DSLR Camera,3,"01/06/23 11:51","01/06/23 8:35"
641,Technical issue,Hardware issue,Low,Email,LG Smart TV,1,"01/06/23 0:49","01/06/23 15:54"
643,Billing inquiry,Display issue,High,Phone,Samsung Galaxy,2,"01/06/23 3:59","01/06/23 20:15"
644,Cancellation request,Network problem,Critical,Email,Microsoft Surface,5,"01/06/23 18:39","01/06/23 2:08"
645,Refund request,Refund request,Medium,Social media,MacBook Pro,1,"01/06/23 12:33","31/05/23 22:37"
649,Refund request,Cancellation request,Medium,Phone,PlayStation,3,"01/06/23 17:14","01/06/23 5:07"
655,Refund request,Software bug,High,Email,Nest Thermostat,1,"01/06/23 8:20","01/06/23 1:48"
657,Refund request,Product recommendation,Critical,Email,Sony PlayStation,1,"01/06/23 16:44","31/05/23 22:21"
658,Technical issue,Cancellation request,High,Social media,Nintendo Switch Pro Controller,2,"01/06/23 15:32","01/06/23 0:01"
663,Billing inquiry,Data loss,High,Social media,Amazon Echo,4,"01/06/23 0:39","31/05/23 22:49"
665,Product inquiry,Product setup,Low,Social media,Sony Xperia,3,"01/06/23 9:05","01/06/23 20:22"
666,Cancellation request,Installation support,Medium,Social media,Xbox,2,"31/05/23 22:55","01/06/23 6:41"
671,Product inquiry,Delivery problem,Medium,Phone,Sony Xperia,5,"01/06/23 1:36","01/06/23 10:44"
674,Product inquiry,Software bug,Medium,Email,Nintendo Switch,1,"01/06/23 16:47","01/06/23 3:33"
679,Cancellation request,Refund request,Medium,Social media,Garmin Forerunner,3,"01/06/23 2:43","01/06/23 11:40"
680,Technical issue,Display issue,Critical,Phone,Nikon D,5,"01/06/23 8:07","01/06/23 1:21"
684,Product inquiry,Product setup,Critical,Email,Sony PlayStation,3,"01/06/23 4:23","01/06/23 16:57"
685,Technical issue,Data loss,Critical,Chat,Canon EOS,3,"01/06/23 5:17","01/06/23 4:10"
689,Product inquiry,Peripheral compatibility,Medium,Phone,Sony 4K HDR TV,2,"31/05/23 23:45","01/06/23 6:03"
691,Billing inquiry,Display issue,Medium,Email,Canon DSLR Camera,4,"01/06/23 0:40","01/06/23 20:34"
692,Product inquiry,Software bug,High,Social media,Canon EOS,1,"01/06/23 3:12","01/06/23 11:38"
698,Billing inquiry,Refund request,Critical,Social media,Bose QuietComfort,5,"01/06/23 1:21","01/06/23 10:34"
700,Cancellation request,Peripheral compatibility,Medium,Email,Autodesk AutoCAD,1,"31/05/23 22:39","01/06/23 18:28"
702,Technical issue,Delivery problem,Critical,Chat,Sony Xperia,5,"01/06/23 0:53","01/06/23 2:22"
704,Product inquiry,Refund request,High,Chat,Fitbit Charge,2,"31/05/23 22:42","01/06/23 13:27"
705,Refund request,Hardware issue,High,Chat,Dell XPS,3,"01/06/23 21:42","01/06/23 9:47"
708,Cancellation request,Payment issue,Critical,Email,Nest Thermostat,5,"01/06/23 0:04","01/06/23 1:16"
712,Technical issue,Delivery problem,High,Phone,Fitbit Versa Smartwatch,2,"01/06/23 18:25","31/05/23 23:52"
713,Product inquiry,Product recommendation,High,Email,LG Washing Machine,1,"01/06/23 13:36","01/06/23 5:35"
715,Refund request,Data loss,Critical,Chat,MacBook Pro,5,"01/06/23 0:41","01/06/23 11:04"
718,Technical issue,Peripheral compatibility,Low,Phone,Nintendo Switch Pro Controller,2,"31/05/23 23:31","01/06/23 8:20"
721,Billing inquiry,Installation support,Critical,Phone,Adobe Photoshop,1,"01/06/23 12:26","01/06/23 10:25"
723,Technical issue,Battery life,Medium,Email,Dell XPS,1,"01/06/23 18:13","31/05/23 23:50"
729,Cancellation request,Delivery problem,High,Social media,LG Washing Machine,2,"01/06/23 13:25","31/05/23 23:15"
730,Technical issue,Hardware issue,Low,Chat,GoPro Action Camera,4,"01/06/23 18:48","01/06/23 16:18"
734,Cancellation request,Peripheral compatibility,Medium,Chat,Nintendo Switch Pro Controller,4,"01/06/23 7:13","01/06/23 2:06"
